"SourceRoot","RelativePath","FileName","Extension","SizeBytes","Category","LayerCandidate","FunctionalRole","ContainsArabicText","MissingFromActiveByName","SameHashAsActiveWorkspace","SameHashAsActiveCompiled","NamespaceCount","Namespaces","TypeCount","Types","MethodLikeMemberCount","UsingCount"
"_codex_zip_study_20260515_053548","Replit/CodexMarege/EJLive.Core/Services/AgentConfigurationXmlService.cs","AgentConfigurationXmlService.cs",".cs","10159","Service/Manager/Engine","Business Layer","Preserved operational behavior for staged service, manager, engine, adapter, parser, or handler promotion.","False","False","True","True","1","EJLive.Core.Services","2","AgentConfigurationXmlService;DictionaryValueExtensions","7","5"
"_codex_zip_study_20260515_053548","Replit/CodexMarege/EJLive.Core/Services/AlertManager.cs","AlertManager.cs",".cs","10034","Service/Manager/Engine","Business Layer","Preserved operational behavior for staged service, manager, engine, adapter, parser, or handler promotion.","True","False","True","True","1","EJLive.Core.Services","1","AlertManager","13","6"
"_codex_zip_study_20260515_053548","Replit/CodexMarege/EJLive.Core/Services/AuditLogger.cs","AuditLogger.cs",".cs","7181","Service/Manager/Engine","Business Layer","Preserved operational behavior for staged service, manager, engine, adapter, parser, or handler promotion.","True","False","True","True","1","EJLive.Core.Services","3","AuditLogger;AuditEntry;AuditAction","15","5"
"_codex_zip_study_20260515_053548","Replit/CodexMarege/EJLive.Core/Services/DatabaseManager.cs","DatabaseManager.cs",".cs","20202","Service/Manager/Engine","Business Layer","Preserved operational behavior for staged service, manager, engine, adapter, parser, or handler promotion.","True","False","True","True","1","EJLive.Core.Services","1","DatabaseManager","17","19"
"_codex_zip_study_20260515_053548","Replit/CodexMarege/EJLive.Core/Services/JournalSyncAlertService.cs","JournalSyncAlertService.cs",".cs","5169","Service/Manager/Engine","Business Layer","Preserved operational behavior for staged service, manager, engine, adapter, parser, or handler promotion.","False","False","True","True","1","EJLive.Core.Services","1","JournalSyncAlertService","2","4"
"_codex_zip_study_20260515_053548","Replit/CodexMarege/EJLive.Core/Services/JournalSyncDashboardService.cs","JournalSyncDashboardService.cs",".cs","2702","Service/Manager/Engine","Business Layer","Preserved operational behavior for staged service, manager, engine, adapter, parser, or handler promotion.","False","False","True","True","1","EJLive.Core.Services","1","JournalSyncDashboardService","1","4"
"_codex_zip_study_20260515_053548","Replit/CodexMarege/EJLive.Core/Services/JournalSyncMonitorService.cs","JournalSyncMonitorService.cs",".cs","10215","Service/Manager/Engine","Business Layer","Preserved operational behavior for staged service, manager, engine, adapter, parser, or handler promotion.","False","False","True","True","1","EJLive.Core.Services","1","JournalSyncMonitorService","15","5"
"_codex_zip_study_20260515_053548","Replit/CodexMarege/EJLive.Core/Services/JournalSyncService.cs","JournalSyncService.cs",".cs","7405","Service/Manager/Engine","Business Layer","Preserved operational behavior for staged service, manager, engine, adapter, parser, or handler promotion.","False","False","True","True","1","EJLive.Core.Services","1","JournalSyncService","10","8"
"_codex_zip_study_20260515_053548","Replit/CodexMarege/EJLive.Core/Services/JournalSyncStateService.cs","JournalSyncStateService.cs",".cs","12081","Service/Manager/Engine","Business Layer","Preserved operational behavior for staged service, manager, engine, adapter, parser, or handler promotion.","False","False","True","True","1","EJLive.Core.Services","2","JournalSyncStateService;JournalSyncStateFile","15","8"
"_codex_zip_study_20260515_053548","Replit/CodexMarege/EJLive.Core/Services/JournalSyncStateStore.cs","JournalSyncStateStore.cs",".cs","7692","Service/Manager/Engine","Business Layer","Preserved operational behavior for staged service, manager, engine, adapter, parser, or handler promotion.","False","False","True","True","1","EJLive.Core.Services","1","JournalSyncStateStore","13","7"
"_codex_zip_study_20260515_053548","Replit/CodexMarege/EJLive.Core/Services/JournalSyncTracker.cs","JournalSyncTracker.cs",".cs","11017","Service/Manager/Engine","Business Layer","Preserved operational behavior for staged service, manager, engine, adapter, parser, or handler promotion.","False","False","True","True","1","EJLive.Core.Services","3","JournalSyncTracker;in;PersistedJournalSyncState","15","7"
"_codex_zip_study_20260515_053548","Replit/CodexMarege/EJLive.Core/Services/JournalSyncTrackerService.cs","JournalSyncTrackerService.cs",".cs","10051","Service/Manager/Engine","Business Layer","Preserved operational behavior for staged service, manager, engine, adapter, parser, or handler promotion.","False","False","True","True","1","EJLive.Core.Services","1","JournalSyncTrackerService","14","8"
"_codex_zip_study_20260515_053548","Replit/CodexMarege/EJLive.Core/Services/JournalSyncTrackingService.cs","JournalSyncTrackingService.cs",".cs","9516","Service/Manager/Engine","Business Layer","Preserved operational behavior for staged service, manager, engine, adapter, parser, or handler promotion.","False","False","True","True","1","EJLive.Core.Services","1","JournalSyncTrackingService","7","6"
"_codex_zip_study_20260515_053548","Replit/CodexMarege/EJLive.Core/Services/MergedTraceCorrelationService.cs","MergedTraceCorrelationService.cs",".cs","4455","Service/Manager/Engine","Business Layer","Preserved operational behavior for staged service, manager, engine, adapter, parser, or handler promotion.","False","False","True","True","1","EJLive.Core.Services","1","NcrMergedTraceCorrelationService","2","7"
"_codex_zip_study_20260515_053548","Replit/CodexMarege/EJLive.Core/Services/NcrConfigCapabilityParser.cs","NcrConfigCapabilityParser.cs",".cs","9077","Service/Manager/Engine","Business Layer","Preserved operational behavior for staged service, manager, engine, adapter, parser, or handler promotion.","False","False","True","True","1","EJLive.Core.Services","1","NcrConfigCapabilityParser","6","5"
"_codex_zip_study_20260515_053548","Replit/CodexMarege/EJLive.Core/Services/NcrConfigurationCapabilityParser.cs","NcrConfigurationCapabilityParser.cs",".cs","6948","Service/Manager/Engine","Business Layer","Preserved operational behavior for staged service, manager, engine, adapter, parser, or handler promotion.","False","False","True","True","1","EJLive.Core.Services","1","NcrConfigurationCapabilityParser","5","6"
"_codex_zip_study_20260515_053548","Replit/CodexMarege/EJLive.Core/Services/NcrReferenceCapabilityFactory.cs","NcrReferenceCapabilityFactory.cs",".cs","2480","Service/Manager/Engine","Business Layer","Preserved operational behavior for staged service, manager, engine, adapter, parser, or handler promotion.","False","False","True","True","1","EJLive.Core.Services","1","NcrReferenceCapabilityFactory","1","1"
"_codex_zip_study_20260515_053548","Replit/CodexMarege/EJLive.Core/Services/OperationalStateStore.cs","OperationalStateStore.cs",".cs","3165","Service/Manager/Engine","Business Layer","Preserved operational behavior for staged service, manager, engine, adapter, parser, or handler promotion.","False","False","True","True","1","EJLive.Core.Services","1","OperationalStateStore","10","4"
"_codex_zip_study_20260515_053548","Replit/CodexMarege/EJLive.Core/Services/RoleBasedAccess.cs","RoleBasedAccess.cs",".cs","7819","Service/Manager/Engine","Business Layer","Preserved operational behavior for staged service, manager, engine, adapter, parser, or handler promotion.","True","False","True","True","1","EJLive.Core.Services","5","RoleBasedAccess;UserSession;LoginResult;UserRole;Permission","6","3"
"_codex_zip_study_20260515_053548","Replit/CodexMarege/EJLive.Core/Services/VendorRootCapabilityService.cs","VendorRootCapabilityService.cs",".cs","14094","Service/Manager/Engine","Business Layer","Preserved operational behavior for staged service, manager, engine, adapter, parser, or handler promotion.","False","False","True","True","1","EJLive.Core.Services","1","VendorRootCapabilityService","8","5"
"_codex_zip_study_20260515_053548","Replit/CodexMarege/EJLive.Core/Services/VendorRootProfileCatalogService.cs","VendorRootProfileCatalogService.cs",".cs","7268","Service/Manager/Engine","Business Layer","Preserved operational behavior for staged service, manager, engine, adapter, parser, or handler promotion.","False","False","True","True","1","EJLive.Core.Services","1","VendorRootProfileCatalogService","1","3"
"_codex_zip_study_20260515_053548","Replit/CodexMarege/EJLive.Core/Services/XfsLogAnalysisService.cs","XfsLogAnalysisService.cs",".cs","4895","Service/Manager/Engine","Business Layer","Preserved operational behavior for staged service, manager, engine, adapter, parser, or handler promotion.","False","False","True","True","1","EJLive.Core.Services","4","XfsLogAnalysisService;XfsLogAnalysisResult;XfsLogAnalysisSummary;XfsTopMessage","4","5"
"_codex_zip_study_20260515_053548","Replit/CodexMarege/EJLive.Core/Sync/JournalSyncModels.cs","JournalSyncModels.cs",".cs","3930","Data/Core Source","Data/Core Layer","Preserved core model, protocol, constant, data, or utility behavior.","False","False","True","True","1","EJLive.Core.Sync","7","JournalSyncStatus;JournalTransferStatus;JournalSyncEntry;ATMJournalSyncState;JournalSyncAlert;JournalSyncStateEnvelope;JournalSyncDashboardSnapshot","0","2"
"_codex_zip_study_20260515_053548","Replit/CodexMarege/EJLive.Core/Xfs/Adapters/CardReaderTraceAdapter.cs","CardReaderTraceAdapter.cs",".cs","3830","Service/Manager/Engine","Business Layer","Preserved operational behavior for staged service, manager, engine, adapter, parser, or handler promotion.","False","False","True","True","1","EJLive.Core.Xfs.Adapters","1","CardReaderTraceAdapter","3","3"
"_codex_zip_study_20260515_053548","Replit/CodexMarege/EJLive.Core/Xfs/Adapters/DebugTraceAdapter.cs","DebugTraceAdapter.cs",".cs","3085","Service/Manager/Engine","Business Layer","Preserved operational behavior for staged service, manager, engine, adapter, parser, or handler promotion.","False","False","True","True","1","EJLive.Core.Xfs.Adapters","1","DebugTraceAdapter","2","2"
"_codex_zip_study_20260515_053548","Replit/CodexMarege/EJLive.Core/Xfs/Adapters/DieboldMdsAdapter.cs","DieboldMdsAdapter.cs",".cs","11777","Service/Manager/Engine","Business Layer","Preserved operational behavior for staged service, manager, engine, adapter, parser, or handler promotion.","False","False","True","True","1","EJLive.Core.Xfs.Adapters","1","DieboldMdsAdapter","11","4"
"_codex_zip_study_20260515_053548","Replit/CodexMarege/EJLive.Core/Xfs/Adapters/GrgJournalAdapter.cs","GrgJournalAdapter.cs",".cs","13857","Service/Manager/Engine","Business Layer","Preserved operational behavior for staged service, manager, engine, adapter, parser, or handler promotion.","False","False","True","True","1","EJLive.Core.Xfs.Adapters","1","GrgJournalAdapter","7","5"
"_codex_zip_study_20260515_053548","Replit/CodexMarege/EJLive.Core/Xfs/Adapters/GrgXfsAdapter.cs","GrgXfsAdapter.cs",".cs","9162","Service/Manager/Engine","Business Layer","Preserved operational behavior for staged service, manager, engine, adapter, parser, or handler promotion.","False","False","True","True","1","EJLive.Core.Xfs.Adapters","1","GrgXfsAdapter","9","4"
"_codex_zip_study_20260515_053548","Replit/CodexMarege/EJLive.Core/Xfs/Adapters/HostMessageInAdapter.cs","HostMessageInAdapter.cs",".cs","2174","Service/Manager/Engine","Business Layer","Preserved operational behavior for staged service, manager, engine, adapter, parser, or handler promotion.","False","False","True","True","1","EJLive.Core.Xfs.Adapters","1","HostMessageInAdapter","2","3"
"_codex_zip_study_20260515_053548","Replit/CodexMarege/EJLive.Core/Xfs/Adapters/HostMessageOutAdapter.cs","HostMessageOutAdapter.cs",".cs","2388","Service/Manager/Engine","Business Layer","Preserved operational behavior for staged service, manager, engine, adapter, parser, or handler promotion.","False","False","True","True","1","EJLive.Core.Xfs.Adapters","1","HostMessageOutAdapter","2","3"
"_codex_zip_study_20260515_053548","Replit/CodexMarege/EJLive.Core/Xfs/Adapters/IXfsVendorAdapter.cs","IXfsVendorAdapter.cs",".cs","286","Service/Manager/Engine","Business Layer","Preserved operational behavior for staged service, manager, engine, adapter, parser, or handler promotion.","False","False","True","True","1","EJLive.Core.Xfs.Adapters","1","IXfsVendorAdapter","0","2"
"_codex_zip_study_20260515_053548","Replit/CodexMarege/EJLive.Core/Xfs/Adapters/NcrCardReaderTraceAdapter.cs","NcrCardReaderTraceAdapter.cs",".cs","4933","Service/Manager/Engine","Business Layer","Preserved operational behavior for staged service, manager, engine, adapter, parser, or handler promotion.","False","False","True","True","1","EJLive.Core.Xfs.Adapters","1","NcrCardReaderTraceAdapter","3","5"
"_codex_zip_study_20260515_053548","Replit/CodexMarege/EJLive.Core/Xfs/Adapters/NcrDebugTraceAdapter.cs","NcrDebugTraceAdapter.cs",".cs","4333","Service/Manager/Engine","Business Layer","Preserved operational behavior for staged service, manager, engine, adapter, parser, or handler promotion.","False","False","True","True","1","EJLive.Core.Xfs.Adapters","1","NcrDebugTraceAdapter","3","4"
"_codex_zip_study_20260515_053548","Replit/CodexMarege/EJLive.Core/Xfs/Adapters/NcrHostMessageInAdapter.cs","NcrHostMessageInAdapter.cs",".cs","2579","Service/Manager/Engine","Business Layer","Preserved operational behavior for staged service, manager, engine, adapter, parser, or handler promotion.","False","False","True","True","1","EJLive.Core.Xfs.Adapters","1","NcrHostMessageInAdapter","2","4"
